"Label (Grouping)","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Below poverty level!!Estimate","California!!Below poverty level!!Margin of Error","California!!Percent below poverty level!!Estimate","California!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","38,307,718","±9,403","4,670,324","±66,972","12.2%","±0.2"
"    AGE","","","","","",""
"        Under 18 years","8,357,454","±9,390","1,278,372","±33,966","15.3%","±0.4"
"            Under 5 years","2,078,213","±4,744","320,754","±13,775","15.4%","±0.7"
"            5 to 17 years","6,279,241","±9,620","957,618","±26,271","15.3%","±0.4"
"            Related children of householder under 18 years","8,324,700","±11,340","1,248,147","±34,347","15.0%","±0.4"
"        18 to 64 years","23,895,443","±5,286","2,679,892","±37,420","11.2%","±0.2"
"            18 to 34 years","9,061,703","±6,164","1,173,317","±20,689","12.9%","±0.2"
"            35 to 64 years","14,833,740","±6,296","1,506,575","±25,916","10.2%","±0.2"
"        60 years and over","8,369,394","±21,476","984,845","±19,716","11.8%","±0.2"
"        65 years and over","6,054,821","±4,560","712,060","±17,163","11.8%","±0.3"
"    SEX","","","","","",""
"        Male","19,102,598","±9,239","2,140,110","±37,229","11.2%","±0.2"
"        Female","19,205,120","±9,946","2,530,214","±39,737","13.2%","±0.2"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","14,896,256","±45,009","1,461,810","±35,931","9.8%","±0.2"
"        Black or African American alone","2,033,498","±21,233","391,403","±18,224","19.2%","±0.9"
"        American Indian and Alaska Native alone","494,381","±22,515","76,130","±7,293","15.4%","±1.4"
"        Asian alone","5,955,412","±22,965","586,299","±23,068","9.8%","±0.4"
"        Native Hawaiian and Other Pacific Islander alone","156,558","±7,350","20,577","±3,702","13.1%","±2.4"
"        Some other race alone","7,467,785","±78,485","1,210,896","±38,897","16.2%","±0.5"
"        Two or more races","7,303,828","±74,540","923,209","±31,886","12.6%","±0.4"
"        Hispanic or Latino origin (of any race)","15,468,911","±8,342","2,300,778","±49,363","14.9%","±0.3"
"        White alone, not Hispanic or Latino","12,927,328","±18,538","1,183,941","±29,787","9.2%","±0.2"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","26,556,589","±7,274","2,814,990","±40,161","10.6%","±0.2"
"            Less than high school graduate","4,027,021","±37,985","821,944","±17,763","20.4%","±0.4"
"            High school graduate (includes equivalency)","5,411,020","±44,656","753,884","±19,586","13.9%","±0.3"
"            Some college, associate's degree","7,227,919","±47,811","736,086","±18,657","10.2%","±0.2"
"            Bachelor's degree or higher","9,890,629","±49,454","503,076","±13,167","5.1%","±0.1"
"    EMPLOYMENT STATUS","","","","","",""
"        Civilian labor force 16 years and over","19,909,539","±44,701","1,295,732","±24,240","6.5%","±0.1"
"            Employed","18,860,696","±50,863","1,004,876","±21,277","5.3%","±0.1"
"                Male","10,198,277","±30,658","493,837","±13,807","4.8%","±0.1"
"                Female","8,662,419","±34,000","511,039","±13,185","5.9%","±0.2"
"            Unemployed","1,048,843","±20,839","290,856","±10,023","27.7%","±0.8"
"                Male","552,630","±14,037","149,172","±6,867","27.0%","±1.1"
"                Female","496,213","±14,770","141,684","±7,457","28.6%","±1.3"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","30,964,475","±14,100","3,547,390","±44,739","11.5%","±0.1"
"            Worked full-time, year-round in the past 12 months","13,380,945","±55,626","284,348","±11,792","2.1%","±0.1"
"            Worked part-time or part-year in the past 12 months","7,019,707","±45,479","970,833","±21,154","13.8%","±0.3"
"            Did not work","10,563,823","±46,928","2,292,209","±35,565","21.7%","±0.3"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","2,286,251","±50,105","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","6,113,359","±77,544","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","7,613,774","±85,010","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","9,712,811","±87,264","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","10,572,958","±87,712","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","16,376,041","±95,642","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","21,048,469","±88,638","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","24,807,249","±80,725","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","7,249,116","±53,038","1,790,659","±23,456","24.7%","±0.3"
"    Male","3,661,146","±33,900","817,226","±17,141","22.3%","±0.4"
"    Female","3,587,970","±32,821","973,433","±17,041","27.1%","±0.4"
"    15 years","10,428","±2,033","10,031","±1,957","96.2%","±3.8"
"    16 to 17 years","20,389","±3,444","19,342","±3,355","94.9%","±2.9"
"    18 to 24 years","688,442","±15,847","320,961","±11,826","46.6%","±1.3"
"    25 to 34 years","1,770,102","±21,122","297,097","±9,362","16.8%","±0.5"
"    35 to 44 years","1,073,242","±17,535","205,467","±7,931","19.1%","±0.7"
"    45 to 54 years","868,542","±16,772","200,671","±7,830","23.1%","±0.8"
"    55 to 64 years","1,037,770","±17,198","292,037","±7,919","28.1%","±0.6"
"    65 to 74 years","932,776","±15,563","231,930","±8,457","24.9%","±0.8"
"    75 years and over","847,425","±10,543","213,123","±6,707","25.1%","±0.8"
"    Mean income deficit for unrelated individuals (dollars)","9,294","±87","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","3,202,339","±36,597","88,807","±5,343","2.8%","±0.2"
"    Worked less than full-time, year-round in the past 12 months","1,646,041","±25,338","496,397","±14,897","30.2%","±0.8"
"    Did not work","2,400,736","±26,701","1,205,455","±20,704","50.2%","±0.6"
"    Population in housing units for whom poverty status is determined","38,026,518","±9,344","4,501,577","±67,024","11.8%","±0.2"
