Label (Grouping),SEX AND AGE,    Total population,RACE,    Total population,        One race,            White,            Black or African American,            American Indian and Alaska Native,            Asian,            Native Hawaiian and Other Pacific Islander,    Total population,        White,        Black or African American,        American Indian and Alaska Native,        Asian,        Native Hawaiian and Other Pacific Islander,        Some other race,    Total population,        Hispanic or Latino (of any race),            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone
1001,0,2132,0,2132,0.958,0.791,0.016,0.003,0.057,0,2132,0.831,0.017,0.017,0.081,0.003,0.094,2132,0.12,0.742,0.016,0.003,0.044,0
1002,0,7110,0,7110,0.908,0.752,0.008,0.003,0.063,0.002,7110,0.84,0.011,0.032,0.087,0.012,0.116,7110,0.212,0.665,0.004,0.003,0.063,0
1003,0,3545,0,3545,0.931,0.804,0.017,0.003,0.082,0,3545,0.86,0.03,0.032,0.104,0,0.044,3545,0.118,0.714,0.017,0.001,0.082,0
1004,0,10396,0,10396,0.857,0.441,0.046,0.008,0.261,0.002,10396,0.566,0.069,0.023,0.329,0.008,0.15,10396,0.299,0.317,0.041,0.001,0.258,0.002
1005,0,5982,0,5982,0.906,0.678,0.016,0.006,0.147,0,5982,0.746,0.043,0.014,0.181,0.01,0.12,5982,0.161,0.622,0.016,0,0.147,0
1006,0,3269,0,3269,0.923,0.872,0.003,0,0.016,0,3269,0.946,0.012,0.042,0.033,0,0.044,3269,0.123,0.784,0.003,0,0.016,0
1007,0,1882,0,1882,0.95,0.9,0,0.012,0.016,0,1882,0.95,0,0.012,0.024,0,0.064,1882,0.134,0.841,0,0,0.016,0
1008.01,0,3962,0,3962,0.918,0.683,0.029,0.026,0.033,0,3962,0.76,0.034,0.04,0.038,0.014,0.203,3962,0.259,0.627,0.029,0.001,0.03,0
1008.02,0,2828,0,2828,0.957,0.799,0.037,0.005,0.081,0,2828,0.842,0.047,0.016,0.081,0,0.068,2828,0.116,0.745,0.024,0,0.081,0
1009,0,3890,0,3890,0.882,0.826,0.014,0,0.022,0,3890,0.921,0.037,0.08,0.027,0,0.068,3890,0.149,0.75,0.005,0,0.022,0
1010.01,0,4049,0,4049,0.896,0.638,0,0,0.207,0.003,4049,0.731,0.053,0.015,0.218,0.003,0.094,4049,0.218,0.513,0,0,0.203,0.003
1010.02,0,4339,0,4339,0.914,0.6,0.007,0.053,0.058,0,4339,0.679,0.018,0.053,0.079,0.002,0.256,4339,0.447,0.465,0.007,0.003,0.055,0
1011,0,5614,0,5614,0.878,0.733,0.042,0,0.069,0,5614,0.842,0.044,0.019,0.09,0,0.129,5614,0.189,0.69,0.025,0,0.069,0
1012,0,2863,0,2863,0.874,0.743,0.034,0.014,0.076,0,2863,0.868,0.059,0.042,0.123,0.003,0.088,2863,0.161,0.669,0.034,0,0.076,0
1101.01,0,2525,0,2525,0.631,0.415,0,0,0.05,0,2525,0.784,0.01,0.01,0.05,0,0.524,2525,0.731,0.191,0,0,0.046,0
1101.02,0,4529,0,4529,0.982,0.618,0,0.005,0.018,0,4529,0.635,0.001,0.007,0.018,0,0.358,4529,0.711,0.267,0,0,0.018,0
1102.01,0,3201,0,3201,0.701,0.535,0,0,0.022,0,3201,0.829,0,0.006,0.027,0,0.438,3201,0.826,0.147,0,0,0.022,0
1102.02,0,5193,0,5193,0.91,0.419,0.022,0,0.048,0.011,5193,0.509,0.022,0,0.048,0.011,0.501,5193,0.764,0.18,0.022,0,0.034,0
1103.01,0,4052,0,4052,0.851,0.283,0.03,0.006,0.01,0.012,4052,0.393,0.03,0.051,0.014,0.012,0.652,4052,0.953,0.038,0.001,0,0.006,0
1103.02,0,3350,0,3350,1,0.425,0,0.007,0.003,0,3350,0.425,0,0.007,0.003,0,0.565,3350,0.981,0.016,0,0,0.003,0
1104.01,0,3318,0,3318,0.836,0.283,0.001,0,0,0,3318,0.428,0.001,0.046,0,0,0.69,3318,0.974,0.017,0.001,0,0,0
1104.02,0,4614,0,4614,0.913,0.326,0,0.002,0.117,0,4614,0.405,0,0.037,0.125,0,0.555,4614,0.813,0.072,0,0,0.115,0
1105.03,0,3293,0,3293,0.911,0.444,0,0.033,0.022,0,3293,0.533,0,0.033,0.033,0,0.489,3293,0.86,0.118,0,0,0.022,0
1105.04,0,3340,0,3340,0.797,0.305,0,0,0.026,0,3340,0.505,0.015,0,0.038,0,0.646,3340,0.889,0.062,0,0,0.026,0
1105.05,0,4620,0,4620,0.931,0.421,0.003,0.01,0.003,0,4620,0.48,0.003,0.028,0.006,0,0.553,4620,0.832,0.134,0.003,0,0.003,0
1105.06,0,3132,0,3132,0.987,0.381,0,0,0.017,0,3132,0.394,0,0,0.03,0,0.589,3132,0.743,0.235,0,0,0.003,0
1106.01,0,5245,0,5245,0.966,0.3,0.007,0.038,0.017,0,5245,0.334,0.007,0.038,0.017,0,0.639,5245,0.949,0.044,0,0,0.007,0
1106.02,0,3248,0,3248,0.744,0.397,0.126,0,0.026,0,3248,0.649,0.129,0,0.03,0,0.448,3248,0.767,0.161,0.042,0,0.026,0
1107,0,2964,0,2964,0.849,0.471,0,0.005,0.068,0,2964,0.615,0,0.036,0.113,0,0.407,2964,0.756,0.169,0,0,0.036,0
1202,0,4922,0,4922,0.933,0.779,0.015,0.035,0.021,0.001,4922,0.844,0.025,0.039,0.03,0.001,0.127,4922,0.218,0.688,0.015,0,0.021,0
1203.01,0,4572,0,4572,0.935,0.898,0,0.01,0.01,0,4572,0.963,0.009,0.031,0.024,0,0.038,4572,0.126,0.797,0,0.002,0.01,0
1203.02,0,3882,0,3882,0.975,0.903,0,0,0.018,0,3882,0.929,0,0.005,0.026,0,0.065,3882,0.122,0.847,0,0,0.018,0
1204,0,4916,0,4916,0.963,0.926,0.01,0.007,0.01,0,4916,0.963,0.019,0.015,0.03,0.008,0.01,4916,0.091,0.85,0.01,0.007,0.01,0
1205,0,5908,0,5908,0.926,0.824,0,0.003,0.04,0.021,5908,0.898,0.003,0.028,0.07,0.03,0.049,5908,0.118,0.748,0,0,0.04,0.021
1206,0,4379,0,4379,0.933,0.873,0.006,0,0.016,0,4379,0.919,0.028,0.009,0.055,0.001,0.057,4379,0.092,0.822,0.006,0,0.016,0
